Video ID,Title,Author,Views,Likes,Comments,Label
https://www.youtube.com/watch?v=75qQQzSpAsM,Study: Effects Of Childhood Bullying Can Last Well Into Adulthood,CBS New York,19046,288,75.0,Bullying
https://www.youtube.com/watch?v=JKYR9xxF_Hg,6 Subtle Signs of Bullying,Psych2Go,113920,7994,1412.0,Bullying
https://www.youtube.com/watch?v=DqNs1qFY7-w,Does Bullying Cause Mental Health Problems? | Mended Light,Mended Light,6964,505,166.0,Bullying
https://www.youtube.com/watch?v=nw7XTsTN16s,Bullying and the Brain,University of South Dakota,3091,41,1.0,Bullying
https://www.youtube.com/watch?v=sQ7JqFjkMig,BULLYING: Long-Term Effects,Dr. Greg,21609,592,179.0,Bullying
https://www.youtube.com/watch?v=v1yKGHVqlGQ,Bullying and mental health: what can schools do?,Science Animated,7921,54,3.0,Bullying
https://www.youtube.com/watch?v=VJpWUBSNhI4,Mental health outcomes of bullying: Animation,Mental Health Leadership,3346,30,0.0,Bullying
https://www.youtube.com/watch?v=9xwFAzxqvrw,Does childhood bullying have long term impacts? | Jennifer Fraser | TEDxLangaraCollege,TEDx Talks,46357,810,270.0,Bullying
https://www.youtube.com/watch?v=KxuTU5q9epc,Effects of Bullying,Everyday Health,6848,33,3.0,Bullying
https://www.youtube.com/watch?v=BpHIvIs6_6U,How To Heal From Childhood Bullying,Real Life Psych,21488,1025,165.0,Bullying
https://www.youtube.com/watch?v=NDsrYiHjNbQ,Who Does Bullying Affect?,Committee for Children,25867,172,2.0,Bullying
https://www.youtube.com/watch?v=vrteTHeHecY,Bullies &amp; Bullying - Psychologist discusses techniques to deal with it.,Excel in Exams,65480,1892,239.0,Bullying
https://www.youtube.com/watch?v=FqM0YqeRsOM,"Bullying: Fascinating Features and Intervention, with Prof. Alan Kazdin",Yale University,15071,179,,Bullying
https://www.youtube.com/watch?v=uNoai5DmXWE,Psychological Effects of Bullying (Accessible Preview),Described and Captioned Media Program,5685,36,1.0,Bullying
https://www.youtube.com/watch?v=4mrE5zgEvt4,Protect Yourself Rules - Bullying,Fight Child Abuse,2831499,33086,,Bullying
https://www.youtube.com/watch?v=ADYTwo95h8w,Jordan Peterson: The Truth About Bullying,Teaching Valuable Lessons,26630,1309,23.0,Bullying
https://www.youtube.com/watch?v=_WEZG9GifKo,Jordan Peterson: The Psychology of Bullying,PhilosophyInsights,86543,2532,429.0,Bullying
https://www.youtube.com/watch?v=Hr2Dk0QQ3Sw,The impact of bullying,AntiBullyingPro,151702,1387,,Bullying
