Video ID,Title,Author,Views,Likes,Comments,Label
https://www.youtube.com/watch?v=xH5l5qcFsog,Stories From A Therapist In Therapy: Lori Gottlieb | Rich Roll Podcast,Rich Roll,148068,2551,120,Psychotherapy
https://www.youtube.com/watch?v=m1VVnTZGzeA,A New Resource for Therapists! Learn Psychotherapy Podcast,Psychotherapy Expert Talks,1206,30,4,Psychotherapy
https://www.youtube.com/watch?v=-9SekuYZ1_Y,The Basics of the Psychiatric Interview Part 1 — Psychiatry and Psychotherapy Podcast,Psychiatry & Psychotherapy,3806,101,6,Psychotherapy
https://www.youtube.com/watch?v=-6aVGlYUBas,"ADHD: Diagnosis, Symptoms &amp; Treatment — Psychiatry and Psychotherapy Podcast w/ Dr. David Puder",Psychiatry & Psychotherapy,601,17,0,Psychotherapy
https://www.youtube.com/watch?v=uKkUsO-HJvY,Marijuana and Mental Health — Psychiatry and Psychotherapy Podcast w/ Dr. David Puder,Psychiatry & Psychotherapy,830,11,4,Psychotherapy
https://www.youtube.com/watch?v=vBeB6V-KA70,The History and Nuances of Bipolar Illness — Psychiatry and Psychotherapy Podcast w/ Dr. David Puder,Psychiatry & Psychotherapy,1393,28,0,Psychotherapy
https://www.youtube.com/watch?v=IOl28gj_RXw,"Dr. Paul Conti: Therapy, Treating Trauma &amp; Other Life Challenges | Huberman Lab Podcast #75",Andrew Huberman,702324,16343,1398,Psychotherapy
https://www.youtube.com/watch?v=KZSD3lauzDo,Narcissism with Jonathan Shedler,Psychiatry & Psychotherapy,4861,167,44,Psychotherapy
https://www.youtube.com/watch?v=Vj-Z9du3gJg,Depersonalization and Derealization,Psychiatry & Psychotherapy,765,21,1,Psychotherapy
https://www.youtube.com/watch?v=G2vef8W1a0k,Irvin Yalom || Existential Psychotherapy,The Psychology Podcast,20557,498,29,Psychotherapy
https://www.youtube.com/watch?v=7LD8iC4NqXM,Case study clinical example CBT: First session with a client with symptoms of depression (CBT model),Judith Johnson,1668751,16023,965,Psychotherapy
https://www.youtube.com/watch?v=uoXypIuHpo0,Depression and Anxiety in Geriatric Patients — Psychiatry &amp; Psychotherapy Podcast w/ Dr. David Puder,Psychiatry & Psychotherapy,330,7,0,Psychotherapy
https://www.youtube.com/watch?v=b1M2RBvHMhM,"Nancy McWilliams on Mental Health, Transference and Dissociation",Psychiatry & Psychotherapy,6610,207,17,Psychotherapy
https://www.youtube.com/watch?v=2tW7YYRwyH8,Psychotherapy for Psychosis with Dr. Michael Garrett,Psychiatry & Psychotherapy,781,22,5,Psychotherapy
https://www.youtube.com/watch?v=m_OazsImOiI,The Science &amp; Treatment of Bipolar Disorder | Huberman Lab Podcast #82,Andrew Huberman,745343,16522,2566,Psychotherapy
https://www.youtube.com/watch?v=bLS8qhXGU5k,Best Diet For Mood Update 2023,Psychiatry & Psychotherapy,574,22,1,Psychotherapy
https://www.youtube.com/watch?v=BCf6x9FmZ-Q,Setting Boundaries in Relationships — Psychiatry and Psychotherapy Podcast w/ Dr. David Puder,Psychiatry & Psychotherapy,336,14,3,Psychotherapy
https://www.youtube.com/watch?v=CRwlo7AP4tc,How to Treat Emotional Trauma — Psychiatry and Psychotherapy Podcast w/ Dr. David Puder,Psychiatry & Psychotherapy,889,25,0,Psychotherapy
https://www.youtube.com/watch?v=5yyWlp6sTv0,Why Do Therapists Not Understand Male Depression?,Chris Williamson,180622,9557,1520,Psychotherapy
https://www.youtube.com/watch?v=Wxmzk8IE0ew,"Psychodynamic Psychotherapy with Jonathan Shedler, Ph.D",Psychiatry & Psychotherapy,3542,85,6,Psychotherapy
https://www.youtube.com/watch?v=rlBZ-jvXClw,Psychopathy with Michael A. Cummings M.D. — Psychiatry and Psychotherapy Podcast w/ Dr. David Puder,Psychiatry & Psychotherapy,833,25,5,Psychotherapy
https://www.youtube.com/watch?v=KhLS5uPTeKQ,Ketamine and Psychedelics with Dr. Michael Cummings — Psychiatry and Psychotherapy Podcast,Psychiatry & Psychotherapy,257,6,1,Psychotherapy
https://www.youtube.com/watch?v=-KqHdPspSYo,Cognitive Distortions and Practicing Truth — Psychiatry and Psychotherapy Podcast,Psychiatry & Psychotherapy,285,12,1,Psychotherapy
https://www.youtube.com/watch?v=8-2WQF3SWwo,LIVE Cognitive Behavioral Therapy Session,MedCircle,1488208,35542,4278,Psychotherapy
https://www.youtube.com/watch?v=AAl2JRBcoJc,Therapeutic Alliance Part 1: Psychiatry and Psychotherapy Podcast w/ Dr. David Puder,Psychiatry & Psychotherapy,1144,18,1,Psychotherapy
https://www.youtube.com/watch?v=6-t8_RN2vX4,The History of Antidepressants — Psychiatry and Psychotherapy Podcast w/ Dr. David Puder,Psychiatry & Psychotherapy,1764,47,8,Psychotherapy
https://www.youtube.com/watch?v=4wM_cw7qY5A,Dealing with Emotional Detachment — Psychiatry and Psychotherapy Podcast w/ Dr. David Puder,Psychiatry & Psychotherapy,4812,86,5,Psychotherapy
https://www.youtube.com/watch?v=Gp5kJdV6shc,Do I have Schizophrenia? — Psychiatry and Psychotherapy Podcast w/ Dr. David Puder,Psychiatry & Psychotherapy,367,7,4,Psychotherapy
https://www.youtube.com/watch?v=Hoj5M5iDOn0,Schizophrenia with Dr. Cummings — Psychiatry and Psychotherapy Podcast,Psychiatry & Psychotherapy,1809,54,4,Psychotherapy
https://www.youtube.com/watch?v=aRY_U-7K520,Clozapine for Treatment Resistant Schizophrenia — Psychiatry and Psychotherapy Podcast,Psychiatry & Psychotherapy,1978,34,5,Psychotherapy
https://www.youtube.com/watch?v=QTwzuuF1hP4,How to treat violent and aggressive patients — Psychiatry and Psychotherapy Podcast,Psychiatry & Psychotherapy,982,32,2,Psychotherapy
https://www.youtube.com/watch?v=MiuULzAdls4,Inpatient Psychiatric Violence — Psychiatry &amp; Psychotherapy Podcast w/ Dr. David Puder,Psychiatry & Psychotherapy,242,8,2,Psychotherapy
https://www.youtube.com/watch?v=if5eQeIMcEw,How Psychiatric Medications Work with Dr. Cummings — Psychiatry &amp; Psychotherapy Podcast,Psychiatry & Psychotherapy,1688,48,1,Psychotherapy
https://www.youtube.com/watch?v=jFhFcoVTZdI,"Microexpressions, Part 2 — Psychiatry and Psychotherapy Podcast",Psychiatry & Psychotherapy,84,2,0,Psychotherapy
https://www.youtube.com/watch?v=E-aphPaGHU4,The Science of Psychotherapy podcast on Experiential Psychotherapy and Memory Reconsolidation,Experiential Psychotherapy Training,1344,27,1,Psychotherapy
https://www.youtube.com/watch?v=UQEyqNDbMf0,The Psychology of Procrastination — Psychiatry and Psychotherapy Podcast w/ Dr. David Puder,Psychiatry & Psychotherapy,1290,38,9,Psychotherapy
https://www.youtube.com/watch?v=NI9_MsKuUxc,Prescribing Strength Training for Depression — Psychiatry and Psychotherapy Podcast,Psychiatry & Psychotherapy,372,10,4,Psychotherapy
https://www.youtube.com/watch?v=KIeGlbrqfJM,Postpartum Depression with Dr. Pereau — Psychiatry and Psychotherapy Podcast w/ Dr. David Puder,Psychiatry & Psychotherapy,151,4,0,Psychotherapy
https://www.youtube.com/watch?v=sYj0exUT_Mw,Andrew Tate vs Therapist (Round 2),David Sutcliffe,3154191,79210,5660,Psychotherapy
https://www.youtube.com/watch?v=101PWhbQaSQ,The science behind forgiveness — Psychiatry and Psychotherapy Podcast w/ Dr. David Puder,Psychiatry & Psychotherapy,472,19,1,Psychotherapy
https://www.youtube.com/watch?v=W_K1Rcx4XWA,How to Help Patients With Sexual Abuse — Psychiatry and Psychotherapy Podcast w/ Dr. David Puder,Psychiatry & Psychotherapy,671,21,0,Psychotherapy
https://www.youtube.com/watch?v=AkWMEe9pDCA,"Microexpressions, Part 1— Psychiatry and Psychotherapy Podcast w/ Dr. David Puder",Psychiatry & Psychotherapy,424,11,0,Psychotherapy
https://www.youtube.com/watch?v=z-mJEZbHFLs,Neuroscience Meets Psychology | Dr. Andrew Huberman | EP 296,Jordan B Peterson,4361004,123904,6408,Psychotherapy
https://www.youtube.com/watch?v=GqaHQeW7GrA,"Hack Your Happiness - Top Psychologist On Therapy &amp; Mental Health, Havovi H. | The Ranveer Show 277",BeerBiceps,836544,17923,901,Psychotherapy
https://www.youtube.com/watch?v=f2LR9LADvOI,How to Pick a Good Therapist — Psychiatry and Psychotherapy Podcast w/ Dr. David Puder,Psychiatry & Psychotherapy,254,9,0,Psychotherapy
https://www.youtube.com/watch?v=NHOUEVRr9-0,Astrology in Psychotherapy,The Astrology Podcast,14529,813,94,Psychotherapy
https://www.youtube.com/watch?v=HKzGWEZLbe0,Sensorium: Total Brain Function Optimization Part 1 — Psychiatry and Psychotherapy Podcast,Psychiatry & Psychotherapy,184,6,0,Psychotherapy
https://www.youtube.com/watch?v=zfJo0RePg8M,"Jonathan Shedler: Freud, Psychoanalysis, and Psychodynamic Psychotherapy | Robinson&#39;s Podcast #132",Robinson Erhardt,3675,140,43,Psychotherapy
https://www.youtube.com/watch?v=C9AhzCcSbek,Schizophrenia Differential Diagnosis &amp; DSM5 — Psychiatry and Psychotherapy Podcast,Psychiatry & Psychotherapy,1212,35,0,Psychotherapy
https://www.youtube.com/watch?v=qubnja3T8c0,The Science of Psychotherapy Introduction,The Science of Psychotherapy,205,5,1,Psychotherapy
