Video ID,Title,Author,Views,Likes,Comments,Label
https://www.youtube.com/watch?v=7eZ6CA1H1Pg,Stop normalising toxic relationships,Thewizardliz,428690,36230,1735,Toxic Relationship
https://www.youtube.com/watch?v=XRRhVZLnInU,7 Red Flags of A Toxic Relationship,Psych2Go,190971,9802,476,Toxic Relationship
https://www.youtube.com/watch?v=hrwn0ef0CbI,4 Reasons Why You Can&#39;t Leave a Toxic Relationship,Psych2Go,56481,2948,179,Toxic Relationship
https://www.youtube.com/watch?v=jiLRLUv_f6c,7 Signs You’re in a Toxic Relationship,TopThink,364077,7578,578,Toxic Relationship
https://www.youtube.com/watch?v=XxtSVM1c_HU,How to Recognize a Toxic Relationship,Dr. Tracey Marks,2256795,85383,7095,Toxic Relationship
https://www.youtube.com/watch?v=TkYnp9ED8Ws,Toxic relationships be like… #shorts,Ray William Johnson,5162345,486296,3836,Toxic Relationship
https://www.youtube.com/watch?v=3STj2rYQv-o,"LET GO, MOVE ON, and HEAL After a Toxic Relationship",Matthew Hussey,362840,12474,771,Toxic Relationship
https://www.youtube.com/watch?v=A89h4dULLyk,"Intence, Kizzy Don - Toxic Relationship (Official Music Video)",IntenceVEVO,1073801,26639,2684,Toxic Relationship
https://www.youtube.com/watch?v=xnfWVZtFYJU,You MUST Walk Away from These People | Jordan Peterson on TOXIC Relationships,Pursuit of Meaning,1764466,39232,1973,Toxic Relationship
https://www.youtube.com/watch?v=ON4iy8hq2hM,The difference between healthy and unhealthy love | Katie Hood,TED,4628628,131014,2455,Toxic Relationship
https://www.youtube.com/watch?v=IabJJhmSecQ,Toxic Relationship Signs,Psych2Go,236832,13356,890,Toxic Relationship
https://www.youtube.com/watch?v=QfN-riwTsK0,Three Steps To End All Toxic Relationships,The Royal We,54339,3572,476,Toxic Relationship
https://www.youtube.com/watch?v=rAqpSprjFXE,THE COST OF TOXIC RELATIONSHIPS by RC BLAKES,"RC Blakes, Jr",26197,2785,309,Toxic Relationship
https://www.youtube.com/watch?v=Ol9Uh83gvLY,#POV: we’re in a toxic relationship💔.. #shorts #tiktok,skyyjade,1038646,88656,853,Toxic Relationship
https://www.youtube.com/watch?v=8fIcvRilDB4,The Non Toxic Relationship #themanniishow.com/series,The Mannii Show,7886724,615487,4392,Toxic Relationship
https://www.youtube.com/watch?v=Tjbm7h8XMm4,How to Cut Out a Toxic Person,Matthew Hussey,418449,16868,1243,Toxic Relationship
https://www.youtube.com/watch?v=BwhP2FuoUmc,Signs You&#39;re In A Toxic Relationship,MedCircle,29924,1140,65,Toxic Relationship
https://www.youtube.com/watch?v=aZDezGrI1yg,"Toxic Relationships | Signs, Red Flags and How to Let Go and Heal! - FT Muthoni Mukiri",Best Kept Secrets Podcast,56742,1549,128,Toxic Relationship
https://www.youtube.com/watch?v=XnGj2OxcL_k,6 Ways To Tell A Woman Is Toxic (Every Guy Needs To Know This),Courtney Ryan,599228,15198,1562,Toxic Relationship
https://www.youtube.com/watch?v=lkOLgO0Vcxw,7 Signs Of A TOXIC &amp; UNHEALTHY RELATIONSHIP (It&#39;s Time To Leave...)| Lisa Romano,Lisa A. Romano Breakthrough Life coaCh Inc.,174679,7319,664,Toxic Relationship
https://www.youtube.com/watch?v=QU8hG8pwDS0,Is It Love? OR You are in TOXIC RELATIONSHIP | Anubhav Agrawal,Anubhav Agrawal,12187,855,76,Toxic Relationship
https://www.youtube.com/watch?v=fWAF2jc61kc,7 SURPRISING Signs A Toxic Relationship (No One Tells You This!!),Common Ego,15229,693,71,Toxic Relationship
https://www.youtube.com/watch?v=WjUmDjYO5p8,Toxic Relationship Signs,sWooZie,4490523,161401,6975,Toxic Relationship
https://www.youtube.com/watch?v=V_ncobddi8U,When its her first time in a non toxic relationship,Niko Burnett,18226580,1438987,5566,Toxic Relationship
https://www.youtube.com/watch?v=dVNy2i4qJig,"How To LET GO, MOVE ON &amp; HEAL From A Toxic Relationship! | Dr. Ramani &amp; Lewis Howes",Lewis Howes,805492,17075,1330,Toxic Relationship
https://www.youtube.com/watch?v=4EqbuAlrilQ,"8 Signs Its A Trauma Bond, Not Love",Psych2Go,4110529,130785,5294,Toxic Relationship
https://www.youtube.com/watch?v=K38wcAswExg,Toxic Relationships ကနေ healthy relationships ကိုပြောင်းလဲဖို့ ဖြစ်နိုင်မလား။,Su Phone Mo,5161,239,12,Toxic Relationship
https://www.youtube.com/watch?v=HinqO-GwtMw,What is the most dangerous stage in a toxic relationship? | The Narcissists&#39; Code 678,Mental Healness,11301,705,137,Toxic Relationship
https://www.youtube.com/watch?v=cXwt1zXOaeY,How to heal from a toxic relationship,Persephonesmind,36882,4133,254,Toxic Relationship
https://www.youtube.com/watch?v=XFMhbl-gpkU,TOXIC RELATIONSHIP(FULL MOVIE) EKEN UMENWA/MALEEK MILTON/FLASH BOY 2023 LATEST NOLLYWOOD MOVIE,NOLLYWOODHITMOVIES TV,59695,401,37,Toxic Relationship
https://www.youtube.com/watch?v=jBXwWJhnITg,Are YOU in a Toxic Relationship?,Lise Leblanc,12803,774,91,Toxic Relationship
https://www.youtube.com/watch?v=p5GYhw7yt5A,Flight attendant spots a toxic relationship 😭🥺,Jeenie.Weenie,17993103,1372623,4357,Toxic Relationship
https://www.youtube.com/watch?v=4C_crSUY7-4,#pov we‘re in a toxic relationship…#shorts,Manuel Enrique,3694287,236294,1434,Toxic Relationship
https://www.youtube.com/watch?v=GKo0BqUOcdw,Most Overlooked RED FLAG Of Toxic Relationships,The Royal We,68221,4033,541,Toxic Relationship
https://www.youtube.com/watch?v=GW4uWHIcbDk,12 Hard Truths You Need to Know to Avoid Toxic Relationships,Matthew Hussey,53560,1887,108,Toxic Relationship
https://www.youtube.com/watch?v=E3sGsUbOLrQ,Get OUT of that TOXIC RELATIONSHIP! | Ankur Warikoo #shorts,warikoo,180860,15207,181,Toxic Relationship
https://www.youtube.com/watch?v=gHCk4O3obtY,pov: you‘re used to toxic relationships 😳😱❤️,Andrea Subotic,5622463,385114,2783,Toxic Relationship
https://www.youtube.com/watch?v=TZaUPpF_0oE,I Have A Toxic Relationship With These Authors,Bookish Realm,1600,243,34,Toxic Relationship
https://www.youtube.com/watch?v=g4cu2RU95z8,How To Detox From A Toxic Relationship #shorts,Jim Brillon - Orange County Therapist,12600,1743,54,Toxic Relationship
https://www.youtube.com/watch?v=-yerHYqXg8Q,I was in a Toxic Relationship for Five Years. Here&#39;s What I Learned.,Helly,653040,44049,4568,Toxic Relationship
https://www.youtube.com/watch?v=HOgPeG9PiHA,Toxic Relationships | Erica Barry | TEDxWhitneyHigh,TEDx Talks,8441,138,1,Toxic Relationship
https://www.youtube.com/watch?v=H_Dqczmp8Kc,8 Signs You Are Dealing with Narcissistic Abuse,Psych2Go,4617883,141036,12284,Toxic Relationship
https://www.youtube.com/watch?v=FAEiD8ggAtw,8 Hour Sleep Hypnosis: Cutting Cords to Toxic Relationships - Dark Screen,John Moyer,890185,18298,1047,Toxic Relationship
https://www.youtube.com/watch?v=GpV9HPY7tSQ,How to tell if you are in a Toxic Relationship | 7 Signs of Relationship Toxicity,Dr. Todd Grande,317155,16044,1805,Toxic Relationship
https://www.youtube.com/watch?v=EVyzzYlFFRs,8 Toxic Behaviors You Should NEVER Tolerate In Your Relationship,Psych2Go,314074,17987,758,Toxic Relationship
https://www.youtube.com/watch?v=ptyKs_79n4k,The sad truth of an unhealthy relationship evolving... #pov @nickpuya,Eliana Ghen,481631,44812,205,Toxic Relationship
https://www.youtube.com/watch?v=WZ7RqDVz5BU,10 Signs YOUR Relationship is Toxic,Lise Leblanc,29696,1434,111,Toxic Relationship
https://www.youtube.com/watch?v=Cw8WizWc7R8,How Relationships Become Toxic? |  New Video On Toxic Relationship | Motivational Talks,Motivational Talks,17962,661,56,Toxic Relationship
https://www.youtube.com/watch?v=94iRmgFNClc,HOW TO TAKE YOUR POWER BACK AFTER A TOXIC RELATIONSHIP,"RC Blakes, Jr",311995,16828,1586,Toxic Relationship
https://www.youtube.com/watch?v=EQAVLUSiddQ,Why you CAN’T Leave an Abusive Relationship | TRAUMA BONDING (Stephanie Lyn Coaching),Stephanie Lyn Coaching,382145,19003,1699,Toxic Relationship
